src_port,dst_port,protocol,ip_version,bidirectional_duration_ms,bidirectional_packets,bidirectional_bytes,src2dst_duration_ms,src2dst_packets,src2dst_bytes,dst2src_first_seen_ms,dst2src_last_seen_ms,dst2src_duration_ms,dst2src_packets,dst2src_bytes,bidirectional_min_ps,bidirectional_mean_ps,bidirectional_stddev_ps,bidirectional_max_ps,src2dst_min_ps,src2dst_mean_ps,src2dst_stddev_ps,src2dst_max_ps,dst2src_min_ps,dst2src_mean_ps,dst2src_stddev_ps,dst2src_max_ps,bidirectional_min_piat_ms,bidirectional_mean_piat_ms,bidirectional_stddev_piat_ms,bidirectional_max_piat_ms,src2dst_min_piat_ms,src2dst_mean_piat_ms,src2dst_stddev_piat_ms,src2dst_max_piat_ms,dst2src_min_piat_ms,dst2src_mean_piat_ms,dst2src_stddev_piat_ms,dst2src_max_piat_ms,bidirectional_syn_packets,bidirectional_cwr_packets,bidirectional_ece_packets,bidirectional_urg_packets,bidirectional_ack_packets,bidirectional_psh_packets,bidirectional_rst_packets,bidirectional_fin_packets,src2dst_syn_packets,src2dst_ack_packets,src2dst_psh_packets,src2dst_rst_packets,src2dst_fin_packets,dst2src_syn_packets,dst2src_ack_packets,dst2src_psh_packets,dst2src_rst_packets,dst2src_fin_packets
53293,5353,17,4,754,6,576,754,6,576,0,0,0,0,0,93,96.0,32.863.353.450.309.900,99,93,96.0,32.863.353.450.309.900,99,0,0.0,0.0,0,0,150.8,33.719.905.100.696.800,754,0,150.8,33.719.905.100.696.800,754,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53425,53,17,6,8,2,357,0,1,106,1744240456459,1744240456459,0,1,251,106,178.5,1.025.304.832.720.490,251,106,106.0,0.0,106,251,251.0,0.0,251,8,8.0,0.0,8,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51544,53,17,6,11,2,377,0,1,103,1744240456622,1744240456622,0,1,274,103,188.5,12.091.525.958.289.900,274,103,103.0,0.0,103,274,274.0,0.0,274,11,11.0,0.0,11,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64990,53,17,6,11,2,365,0,1,103,1744240456622,1744240456622,0,1,262,103,182.5,11.242.997.820.866.100,262,103,103.0,0.0,103,262,262.0,0.0,262,11,11.0,0.0,11,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60872,53,17,6,50392,4,809,50384,2,207,1744240406781,1744240457165,50384,2,602,102,202.25,16.262.303.034.933.200,443,102,103.5,21.213.203.435.596.400,105,159,301.0,2.008.183.258.569.790,443,8,16.797.333.333.333.300,2.907.997.835.854.300,50376,50384,50384.0,0.0,50384,50384,50384.0,0.0,50384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64578,53,17,6,8,2,444,0,1,105,1744240457165,1744240457165,0,1,339,105,222.0,16.546.298.679.765.200,339,105,105.0,0.0,105,339,339.0,0.0,339,8,8.0,0.0,8,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,58,6,0,2,172,0,1,86,1744240345153,1744240345153,0,1,86,86,86.0,0.0,86,86,86.0,0.0,86,86,86.0,0.0,86,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,58,6,4940,4,336,4940,2,164,1744240411785,1744240416725,4940,2,172,78,84.0,4.0,86,78,82.0,5.656.854.249.492.380,86,86,86.0,0.0,86,0,16.466.666.666.666.600,2.852.110.329.796.750,4940,4940,4940.0,0.0,4940,4940,4940.0,0.0,4940,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,58,6,0,2,164,0,1,86,1744240454046,1744240454046,0,1,78,78,82.0,5.656.854.249.492.380,86,86,86.0,0.0,86,78,78.0,0.0,78,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,58,6,0,2,164,0,1,86,1744240553286,1744240553286,0,1,78,78,82.0,5.656.854.249.492.380,86,86,86.0,0.0,86,78,78.0,0.0,78,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
